# This file was automatically generated by TLEEDMAP v.0.1a.
#
# Structure: tst2
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p6m); a = 2.5500 AA; alpha = 120.00 deg
#        Basis: a = [ 2.5500 -0.0000]; b = [-1.2750  2.2084]
# Surface lattice: Rectangular (pg[0 1]); a = 7.6500 AA; b = 4.4167 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [3.8250 6.6251]; b = [-3.8250  2.2084]
#            Superlattice: [[ 3  3] [-1  1]]
# Domain 2 - Basis: a = [ 3.8250 -6.6251]; b = [-3.8250 -2.2084]
#            Superlattice: [[ 0 -3] [-2 -1]]
# Domain 3 - Basis: a = [-7.6500  0.0000]; b = [0.0000 4.4167]
#            Superlattice: [[-3  0] [ 1  2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(  0  |  0  ), 0.00000, 0.00000,  0.00000,  0.00000,    0,    1+2+3,
( -1/3|  1/6),-0.33333, 0.16667, -0.82133,  0.00000,    1,        3,
( -1/6| -1/6),-0.16667,-0.16667, -0.41067, -0.71129,    1,        1,
( -1/6|  1/3),-0.16667, 0.33333, -0.41067,  0.71129,    1,        2,
(  1/3| -1/6), 0.33333,-0.16667,  0.82133, -0.00000,    1,        3,
(  1/6| -1/3), 0.16667,-0.33333,  0.41067, -0.71129,    1,        2,
(  1/6|  1/6), 0.16667, 0.16667,  0.41067,  0.71129,    1,        1,
( -1/2|  0  ),-0.50000, 0.00000, -1.23200, -0.71129,   -2,      (2),
( -1/2|  1/2),-0.50000, 0.50000, -1.23200,  0.71129,   -2,      (1),
(  0  |  1/2), 0.00000, 0.50000,  0.00000,  1.42259,   -2,      (3),
(  0  | -1/2), 0.00000,-0.50000, -0.00000, -1.42259,   -3,      (3),
(  1/2| -1/2), 0.50000,-0.50000,  1.23200, -0.71129,   -3,      (1),
(  1/2|  0  ), 0.50000, 0.00000,  1.23200,  0.71129,   -3,      (2),
( -1/3| -1/3),-0.33333,-0.33333, -0.82133, -1.42259,    4,    1+2+3,
(  1/3|  1/3), 0.33333, 0.33333,  0.82133,  1.42259,    4,    1+2+3,
( -1/3| -1/3),-0.33333,-0.33333, -0.82133, -1.42259,    5,    1+2+3,
(  1/3| -2/3), 0.33333,-0.66667,  0.82133, -1.42259,    5,    1+2+3,
(  1/3|  1/3), 0.33333, 0.33333,  0.82133,  1.42259,    5,    1+2+3,
(  2/3| -1/3), 0.66667,-0.33333,  1.64266, -0.00000,    5,    1+2+3,
( -1/3| -1/3),-0.33333,-0.33333, -0.82133, -1.42259,    6,    1+2+3,
( -1/3|  2/3),-0.33333, 0.66667, -0.82133,  1.42259,    6,    1+2+3,
( -2/3|  1/3),-0.66667, 0.33333, -1.64266,  0.00000,    6,    1+2+3,
(  1/3|  1/3), 0.33333, 0.33333,  0.82133,  1.42259,    6,    1+2+3,
( -2/3| -1/6),-0.66667,-0.16667, -1.64266, -1.42259,    7,        3,
(  1/6| -5/6), 0.16667,-0.83333,  0.41067, -2.13388,    7,        1,
(  1/6|  2/3), 0.16667, 0.66667,  0.41067,  2.13388,    7,        2,
(  2/3| -5/6), 0.66667,-0.83333,  1.64266, -1.42259,    7,        3,
(  5/6| -1/6), 0.83333,-0.16667,  2.05333,  0.71129,    7,        1,
(  5/6| -2/3), 0.83333,-0.66667,  2.05333, -0.71129,    7,        2,
( -1/6| -2/3),-0.16667,-0.66667, -0.41067, -2.13388,    8,        2,
( -1/6|  5/6),-0.16667, 0.83333, -0.41067,  2.13388,    8,        1,
( -2/3|  5/6),-0.66667, 0.83333, -1.64266,  1.42259,    8,        3,
( -5/6|  1/6),-0.83333, 0.16667, -2.05333, -0.71129,    8,        1,
( -5/6|  2/3),-0.83333, 0.66667, -2.05333,  0.71129,    8,        2,
(  2/3|  1/6), 0.66667, 0.16667,  1.64266,  1.42259,    8,        3,
( -1  |  1/2),-1.00000, 0.50000, -2.46399,  0.00000,    9,        3,
