# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-(3xr3)rect
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p6m); a = 2.5435 AA; alpha = 120.00 deg
#        Basis: a = [2.5435 0.0000]; b = [-1.2717  2.2027]
# Surface lattice: Rectangular (pg[1 0]); a = 4.4055 AA; b = 7.6305 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [0.0000 4.4055]; b = [7.6305 0.0000]
#            Superlattice: [[1 2] [3 0]]
# Domain 2 - Basis: a = [-3.8152  2.2027]; b = [-3.8153 -6.6082]
#            Superlattice: [[-1  1] [-3 -3]]
# Domain 3 - Basis: a = [3.8153 2.2027]; b = [-3.8152  6.6082]
#            Superlattice: [[2 1] [0 3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(  0  |  0  ), 0.00000, 0.00000,  0.00000,  0.00000,    0,    1+2+3,
( -1/3|  1/6),-0.33333, 0.16667, -0.82343,  0.00000,    1,        1,
( -1/6| -1/6),-0.16667,-0.16667, -0.41172, -0.71311,    1,        2,
( -1/6|  1/3),-0.16667, 0.33333, -0.41172,  0.71311,    1,        3,
(  1/3| -1/6), 0.33333,-0.16667,  0.82343, -0.00000,    1,        1,
(  1/6| -1/3), 0.16667,-0.33333,  0.41172, -0.71311,    1,        3,
(  1/6|  1/6), 0.16667, 0.16667,  0.41172,  0.71311,    1,        2,
( -1/2|  0  ),-0.50000, 0.00000, -1.23515, -0.71311,   -2,      (3),
(  0  | -1/2), 0.00000,-0.50000,  0.00000, -1.42622,   -2,      (1),
(  1/2| -1/2), 0.50000,-0.50000,  1.23515, -0.71311,   -2,      (2),
( -1/2|  1/2),-0.50000, 0.50000, -1.23515,  0.71311,   -3,      (2),
(  0  |  1/2), 0.00000, 0.50000,  0.00000,  1.42622,   -3,      (1),
(  1/2|  0  ), 0.50000, 0.00000,  1.23515,  0.71311,   -3,      (3),
( -1/3| -1/3),-0.33333,-0.33333, -0.82343, -1.42622,    4,    1+2+3,
( -2/3|  1/3),-0.66667, 0.33333, -1.64686,  0.00000,    4,    1+2+3,
(  1/3| -2/3), 0.33333,-0.66667,  0.82343, -1.42622,    4,    1+2+3,
(  2/3| -1/3), 0.66667,-0.33333,  1.64686, -0.00000,    4,    1+2+3,
